origin,origin_zip,destination_1,destination_1_zip,destination_2,destination_2_zip,boxes_per_gaylord,total_gaylord_7d_week,cost_per_truck_7d_week,cost_per_gaylord_7d_week,cost_per_box_7d_week,total_gaylord_6d_week,cost_per_truck_6d_week,cost_per_gaylord_6d_week,cost_per_box_6d_week,total_gaylord_5d_week,cost_per_truck_5d_week,cost_per_gaylord_5d_week,cost_per_box_5d_week,total_gaylord_4d_week,cost_per_truck_4d_week,cost_per_gaylord_4d_week,cost_per_box_4d_week,earliest_pickup,drive_time,earliest_dropoff,middle_mile_time_in_transit
TX,75238,LAX,90021,CO,80202,110,8,"$2,012",$263,$2.40,9,"$2,012",$226,$2.10,11,"$2,012",$188,$1.70,13,"$2,012",$150,$1.40,8:00 AM,19 hrs,4:00 AM next day,1 Day
TX,75238,LAX,90021,AZ,85004,110,8,"$2,012",$263,$2.40,9,"$2,012",$226,$2.10,11,"$2,012",$188,$1.70,13,"$2,012",$150,$1.40,8:00 AM,19 hrs,4:00 AM next day,1 Day
TX,75238,LAX,90021,UT,84101,110,8,"$2,012",$263,$2.40,9,"$2,012",$226,$2.10,11,"$2,012",$188,$1.70,13,"$2,012",$150,$1.40,8:00 AM,19 hrs,4:00 AM next day,1 Day
TX,75238,LAX,90021,CA,90012,110,8,"$2,012",$263,$2.40,9,"$2,012",$226,$2.10,11,"$2,012",$188,$1.70,13,"$2,012",$150,$1.40,8:00 AM,19 hrs,4:00 AM next day,1 Day
TX,75238,LAX,90021,OR,97204,110,8,"$2,012",$263,$2.40,9,"$2,012",$226,$2.10,11,"$2,012",$188,$1.70,13,"$2,012",$150,$1.40,8:00 AM,19 hrs,4:00 AM next day,1 Day
TX,75238,LAX,90021,WA,98101,110,8,"$2,012",$263,$2.40,9,"$2,012",$226,$2.10,11,"$2,012",$188,$1.70,13,"$2,012",$150,$1.40,8:00 AM,19 hrs,4:00 AM next day,1 Day
TX,75238,EWR,07036,GA,30303,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,SC,29401,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,NC,28202,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,VA,23462,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,NJ,07102,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,CT,06604,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,MD,21201,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,PA,19103,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,NY,10001,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,EWR,07036,MA,02108,110,12,"$3,323",$273,$2.50,12,"$3,323",$268,$2.40,17,"$3,323",$200,$1.80,20,"$3,323",$167,$1.50,8:00 AM,26 hrs,11:00 AM next day,2 Days
TX,75238,ORD,60632,IL,60601,110,6,"$1,959",$354,$3.20,6,"$1,959",$304,$2.80,8,"$1,959",$253,$3.40,10,"$1,959",$202,$2.70,8:00 AM,17 hrs 30m,2:30 AM next day ,1 Day
TX,75238,ORD,60632,MI,48226,110,6,"$1,959",$354,$3.20,6,"$1,959",$304,$2.80,8,"$1,959",$253,$3.40,10,"$1,959",$202,$2.70,8:00 AM,17 hrs 30m,2:30 AM next day ,1 Day
TX,75238,ORD,60632,IN,46204,110,6,"$1,959",$354,$3.20,6,"$1,959",$304,$2.80,8,"$1,959",$253,$3.40,10,"$1,959",$202,$2.70,8:00 AM,17 hrs 30m,2:30 AM next day ,1 Day
TX,75238,ORD,60632,MN,55401,110,6,"$1,959",$354,$3.20,6,"$1,959",$304,$2.80,8,"$1,959",$253,$3.40,10,"$1,959",$202,$2.70,8:00 AM,17 hrs 30m,2:30 AM next day ,1 Day
TX,75238,ORD,60632,MO,64106,110,6,"$1,959",$354,$3.20,6,"$1,959",$304,$2.80,8,"$1,959",$253,$3.40,10,"$1,959",$202,$2.70,8:00 AM,17 hrs 30m,2:30 AM next day ,1 Day
TX,75238,ORD,60632,OK,73102,110,6,"$1,959",$354,$3.20,6,"$1,959",$304,$2.80,8,"$1,959",$253,$3.40,10,"$1,959",$202,$2.70,8:00 AM,17 hrs 30m,2:30 AM next day ,1 Day
TX,75238,ORD,60632,IA,50309,110,6,"$1,959",$354,$3.20,6,"$1,959",$304,$2.80,8,"$1,959",$253,$3.40,10,"$1,959",$202,$2.70,8:00 AM,17 hrs 30m,2:30 AM next day ,1 Day
TX,75238,ORD,60632,KS,67202,110,6,"$1,959",$354,$3.20,6,"$1,959",$304,$2.80,8,"$1,959",$253,$3.40,10,"$1,959",$202,$2.70,8:00 AM,17 hrs 30m,2:30 AM next day ,1 Day