LTL Only,,,,,,,,,,,,
Origin, Destination , Pallets/Day , Shipping Charge 53 , Cost per Pallet Breakdown 53 ,Cost per Parcel Full Utilization 53,,,,,,,
SAV (GA),AL,3,$791 ,$26.37 ,$8.79 ,,,,,,,
SAV (GA),FL,17,$719 ,$23.97 ,$1.41 ,,,,,,,
SAV (GA),GA,7,$645 ,$21.49 ,$3.07 ,,,,,,,
SAV (GA),NM,8,"$2,502 ",$83.39 ,$10.42 ,,,,,,,
SAV (GA),OH,5,"$1,194 ",$39.79 ,$7.96 ,,,,,,,
SAV (GA),PA,1,"$1,657 ",$55.22 ,$55.22 ,,,,,,,
SAV (GA),SC,1,$613 ,$20.45 ,$20.45 ,,,,,,,
SAV (GA),TN,2,"$1,017 ",$33.91 ,$16.96 ,,,,,,,
IND (IN),ID,6,"$3,244 ",$108.13 ,$18.02 ,,,,,,,
IND (IN),IL,5,$509 ,$16.97 ,$3.39 ,,,,,,,
IND (IN),IN,5,$500 ,$16.67 ,$3.33 ,,,,,,,
IND (IN),IA,1,"$1,154 ",$38.48 ,$38.48 ,,,,,,,
IND (IN),KS,7,"$1,034 ",$34.46 ,$4.92 ,,,,,,,
IND (IN),KY,1,$594 ,$19.79 ,$19.79 ,,,,,,,
IND (IN),MO,2,$946 ,$31.53 ,$15.76 ,,,,,,,
IND (IN),ND,1,"$1,774 ",$59.13 ,$59.13 ,,,,,,,
IND (IN),OH,10,$804 ,$26.81 ,$2.68 ,,,,,,,
IND (IN),TN,5,"$1,026 ",$34.21 ,$6.84 ,,,,,,,
IND (IN),UT,2,"$2,663 ",$88.76 ,$44.38 ,,,,,,,
IND (IN),VA,2,"$1,490 ",$49.65 ,$24.83 ,,,,,,,
LNK (NE),AR,1,"$1,307 ",$43.56 ,$43.56 ,,,,,,,
LNK (NE),AZ,1,"$1,955 ",$65.16 ,$65.16 ,,,,,,,
LNK (NE),CO,2,"$1,516 ",$50.54 ,$25.27 ,,,,,,,
LNK (NE),IA,2,$500 ,$16.67 ,$8.33 ,,,,,,,
LNK (NE),KS,2,$634 ,$21.14 ,$10.57 ,,,,,,,
LNK (NE),MO,3,$881 ,$29.36 ,$9.79 ,,,,,,,
LNK (NE),NE,3,$500 ,$16.67 ,$5.56 ,,,,,,,
LNK (NE),NM,1,"$2,034 ",$67.81 ,$67.81 ,,,,,,,
LNK (NE),NV,1,"$2,872 ",$95.72 ,$95.72 ,,,,,,,
LNK (NE),NY,1,"$3,487 ",$116.25 ,$116.25 ,,,,,,,
LNK (NE),TX,2,"$1,547 ",$51.57 ,$25.79 ,,,,,,,
LAS (NV),AZ,15,$561 ,$18.70 ,$1.25 ,,,,,,,
LAS (NV),CA,5,"$1,082 ",$36.06 ,$7.21 ,,,,,,,
LAS (NV),CO,1,"$2,521 ",$84.05 ,$84.05 ,,,,,,,
LAS (NV),OR,1,"$2,143 ",$71.42 ,$71.42 ,,,,,,,
LAS (NV),UT,2,"$1,765 ",$58.85 ,$29.42 ,,,,,,,
LAS (NV),WA,1,"$2,966 ",$98.88 ,$98.88 ,,,,,,,
LAS (NV),WI,3,"$3,290 ",$109.68 ,$36.56 ,,,,,,,
AVP (PA),CT,3,$979 ,$32.62 ,$10.87 ,,,,,,,
AVP (PA),DE,1,$710 ,$23.66 ,$23.66 ,,,,,,,
AVP (PA),FL,1,"$2,706 ",$90.19 ,$90.19 ,,,,,,,
AVP (PA),MA,4,"$1,256 ",$41.85 ,$10.46 ,,,,,,,
AVP (PA),MD,4,$902 ,$30.05 ,$7.51 ,,,,,,,
AVP (PA),MI,2,"$1,860 ",$62.01 ,$31.01 ,,,,,,,
AVP (PA),NC,11,$695 ,$23.16 ,$2.11 ,,,,,,,
AVP (PA),NJ,1,$731 ,$24.38 ,$24.38 ,,,,,,,
AVP (PA),NY,9,$783 ,$26.11 ,$2.90 ,,,,,,,
AVP (PA),OH,2,$753 ,$25.11 ,$12.56 ,,,,,,,
AVP (PA),PA,8,$823 ,$27.45 ,$3.43 ,,,,,,,
AVP (PA),SC,1,"$1,468 ",$48.95 ,$48.95 ,,,,,,,
AVP (PA),TX,4,"$2,417 ",$80.58 ,$20.14 ,,,,,,,
 DFW ,AR,2,$625 ,$20.83 ,$10.42 ,,,,,,,
 DFW ,IL,5,"$1,446 ",$48.20 ,$9.64 ,,,,,,,
 DFW ,KS,1,$952 ,$31.73 ,$31.73 ,,,,,,,
 DFW ,LA,1,"$1,490 ",$49.68 ,$49.68 ,,,,,,,
 DFW ,MO,1,$814 ,$27.14 ,$27.14 ,,,,,,,
 DFW ,NM,1,"$1,430 ",$47.66 ,$47.66 ,,,,,,,
 DFW ,TN,3,"$1,192 ",$39.72 ,$13.24 ,,,,,,,
 DFW ,DFW,23,$500 ,$16.67 ,$0.72 ,,,,,,,
SEA (WA),CA,2,"$1,123 ",$37.45 ,$18.72 ,,,,,,,
SEA (WA),IA,2,"$2,563 ",$85.44 ,$42.72 ,,,,,,,
SEA (WA),WA,6,$500 ,$16.67 ,$2.78 ,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,