Spreetail FC,Spreetail FC Zip,Warp Destination,Warp Destination Zip,Cost/Truck,Cost/Pallet,Cost/Parcel,Pallets/Truck,LTL Pallets,Parcel Pallets,Total Parcel Count,Big & Bulky Parcel Counts,Time in Transit,Departure Time,Arrival Time,Total Miles
PA,18634,EWR,08805,"$1,000 ",$33 ,$0.61 ,30,34,20,1100,253,0h 53m,19:00,19:53,41
PA,18634,PHL,08086,$750 ,$25 ,$0.45 ,30,14,15,825,190,1h 48m,19:00,20:48,106
PA,18634,IAD (MD/VA),20166,$900 ,$30 ,$0.55 ,30,30,12,660,152,2h 19m,19:00,21:19,114
PA,18634,MA/CT,06114,"$1,500 ",$50 ,$0.91 ,30,15,15,825,190,3h 56m,19:00,22:56,102
NV,89115,LAX (& SFO),90745,$650 ,$22 ,$0.39 ,30,40,26,1430,329,8h 46m,19:00,3:46,568
NV,89115,PHX,85353,$850 ,$28 ,$0.52 ,30,10,20,1100,253,4h 40m,19:00,23:40,302
TX,75141,DFW,75050,$350 ,$12 ,$0.21 ,30,15,15,825,190,3h 29m,19:00,22:29,239
TX,75141,HOU,77055,$700 ,$23 ,$0.42 ,30,10,20,1100,253,2h 32m,19:00,21:32,165
TX,75141,SAT,78218,$800 ,$27 ,$0.48 ,30,15,15,825,190,2h 57m,19:00,21:57,197
GA,31308,ATL,30336,$750 ,$25 ,$0.45 ,30,10,20,1100,253,3h 42m,19:00,22:42,248
GA,31308,MIA,33147,"$1,600 ",$53 ,$0.97 ,30,10,20,1100,253,9h 18m,19:00,4:18,662
GA,31308,MCO ,32824,"$1,300 ",$43 ,$0.79 ,30,10,20,1100,253,6h 12m,19:00,1:12,439
IN,46143,CHI,60106,$450 ,$15 ,$0.27 ,30,20,20,1100,253,2h 56m,19:00,21:56,184
IN,46143,CMH,43123,$750 ,$25 ,$0.45 ,30,10,20,1100,253,2h 43m,19:00,21:43,176